prodcom_code,sector,product_label,cn8_codes,official_units,n_cn8_codes,all_cn8_unique_to_product,quantity_years,quantity_valid_years,quantity_units,confidential_flag_years,label_variants,one_cn_or_grouped_cn8,official_kg_unit,annual_kg_stable,complete_15y_quantity,no_confidential_quantity_flags,eligible_strict_match,cn8_codes_joined,official_units_joined
20141270,C20,Cumene,['29027000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29027000,KG
20141290,C20,Other cyclic hydrocarbons,['29029000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29029000,KG
20141313,C20,Chloromethane (methyl chloride) and chloroethane (ethyl chloride),['29031100'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29031100,KG
20141315,C20,Dichloromethane (methylene chloride),['29031200'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29031200,KG
20141323,C20,Chloroform (trichloromethane),['29031300'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29031300,KG
20141325,C20,Carbon tetrachloride,['29031400'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29031400,KG
20141353,C20,"1,2-Dichloroethane (ethylene dichloride)",['29031500'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29031500,KG
20141357,C20,"Saturated chlorinated derivatives of acyclic hydrocarbons, n.e.c.",['29031900'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29031900,KG
20141371,C20,Vinyl chloride (chloroethylene),['29032100'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29032100,KG
20141374,C20,Trichloroethylene; tetrachloroethylene (perchloroethylene),"['29032200', '29032300']",['KG'],2,True,15,15,['KG'],0,1,True,True,True,True,True,True,29032200|29032300,KG
20141379,C20,"Unsaturated chlorinated derivatives of acyclic hydrocarbons (excluding vinyl chloride, trichloroethylene, tetrachloroethylene)",['29032900'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29032900,KG
20141450,C20,Derivatives of hydrocarbons containing only sulpho groups; their salts and ethyl esters,['29041000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29041000,KG
20141470,C20,Derivatives of hydrocarbons containing only nitro or only nitroso groups,['29042000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,29042000,KG
20141490,C20,"Derivatives of hydrocarbons (excluding those containing only sulpho groups; their salts and ethyl esters, those containing only nitro or only nitroso groups)","['29043100', '29043200', '29043300', '29043400', '29043500', '29043600', '29049100', '29049900']",['KG'],8,True,15,15,['KG'],0,1,True,True,True,True,True,True,29043100|29043200|29043300|29043400|29043500|29043600|29049100|29049900,KG
20141910,C20,Fluorinated; brominated or iodinated derivatives of acyclic hydrocarbons,"['29034100', '29034200', '29034300', '29034400', '29034500', '29034600', '29034700', '29034800', '29034910', '29034930', '29034990', '29035100', '29035900', '29036100', '29036200', '29036911', '29036919', '29036980']",['KG'],18,True,15,15,['KG'],0,1,True,True,True,True,True,True,29034100|29034200|29034300|29034400|29034500|29034600|29034700|29034800|29034910|29034930|29034990|29035100|29035900|29036100|29036200|29036911|29036919|29036980,KG
20141930,C20,Halogenated derivatives of acyclic hydrocarbons containing >= 2 different halogens,"['29037100', '29037200', '29037300', '29037400', '29037500', '29037610', '29037620', '29037690', '29037760', '29037790', '29037800', '29037930', '29037980']",['KG'],13,True,15,15,['KG'],0,1,True,True,True,True,True,True,29037100|29037200|29037300|29037400|29037500|29037610|29037620|29037690|29037760|29037790|29037800|29037930|29037980,KG
20141950,C20,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons","['29038100', '29038200', '29038300', '29038910', '29038980']",['KG'],5,True,15,15,['KG'],0,1,True,True,True,True,True,True,29038100|29038200|29038300|29038910|29038980,KG
20141970,C20,Halogenated derivatives of aromatic hydrocarbons,"['29039100', '29039200', '29039300', '29039400', '29039910', '29039980']",['KG'],6,True,15,15,['KG'],0,1,True,True,True,True,True,True,29039100|29039200|29039300|29039400|29039910|29039980,KG
20142100,C20,Industrial fatty alcohols,['38237000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,38237000,KG
