cn8_code,year,extra_eu_import_quantity_100kg
72222031,2016,314274.05
72222031,2017,354677.64
72222031,2018,438071.43
72222031,2019,407842.24
72222031,2020,286029.03
72222031,2021,409434.55
72222031,2022,472573.61
72222039,2008,123002.87
72222039,2009,71761.05
72222039,2010,126254.66
72222039,2011,162664.4
72222039,2012,96417.87
72222039,2013,82595.32
72222039,2014,99788.9
72222039,2015,101025.27
72222039,2016,100705.42
72222039,2017,108673.72
72222039,2018,132712.51
72222039,2019,90348.2
72222039,2020,52916.32
72222039,2021,63293.92
72222039,2022,93160.16
72222081,2008,54377.09
72222081,2009,37449.67
72222081,2010,58802.31
72222081,2011,65753.09
72222081,2012,54675.36
72222081,2013,49683.86
72222081,2014,57532.17
72222081,2015,73509.43
72222081,2016,60356.81
72222081,2017,68888.78
72222081,2018,78792.51
72222081,2019,79192.53
72222081,2020,62804.49
72222081,2021,83710.84
72222081,2022,104637.59
72222089,2008,8509.19
72222089,2009,6728.0
72222089,2010,6844.72
72222089,2011,5316.47
72222089,2012,7608.46
72222089,2013,6699.11
72222089,2014,13021.69
72222089,2015,8823.75
72222089,2016,10752.92
72222089,2017,9946.35
72222089,2018,8485.72
72222089,2019,10287.46
72222089,2020,8714.26
72222089,2021,13027.25
72222089,2022,8598.38
72223051,2008,26729.12
72223051,2009,9559.15
72223051,2010,12475.31
72223051,2011,13205.05
72223051,2012,6114.71
72223051,2013,11341.41
72223051,2014,21753.18
72223051,2015,22575.39
72223051,2016,11317.0
72223051,2017,7452.75
72223051,2018,11576.35
72223051,2019,14604.07
72223051,2020,16351.62
72223051,2021,19076.1
72223051,2022,15132.37
72223091,2008,5150.32
72223091,2009,2323.35
72223091,2010,1268.91
72223091,2011,3156.71
72223091,2012,3791.68
72223091,2013,2675.65
72223091,2014,3111.3
72223091,2015,3327.77
72223091,2016,4985.02
72223091,2017,6612.87
72223091,2018,6072.2
72223091,2019,8459.65
72223091,2020,8286.21
72223091,2021,3962.27
72223091,2022,10245.19
72223097,2008,42483.09
72223097,2009,37144.36
72223097,2010,54487.27
72223097,2011,46723.69
72223097,2012,58534.34
72223097,2013,45551.19
72223097,2014,87757.91
72223097,2015,97493.74
72223097,2016,79304.01
72223097,2017,120584.32
72223097,2018,183314.73
72223097,2019,197875.14
72223097,2020,154170.17
72223097,2021,203710.2
72223097,2022,271087.09
72224050,2008,12273.64
72224050,2009,4968.67
72224050,2010,7697.74
72224050,2011,12196.59
72224050,2012,10613.42
72224050,2013,15877.87
72224050,2014,16956.61
72224050,2015,15463.44
72224050,2016,21279.59
72224050,2017,23995.77
72224050,2018,29049.71
72224050,2019,37138.25
72224050,2020,38387.58
72224050,2021,25999.81
72224050,2022,32383.55
72230011,2008,5569.57
72230011,2009,3557.1
72230011,2010,4613.41
72230011,2011,4321.46
72230011,2012,3566.86
72230011,2013,6846.75
72230011,2014,16639.66
72230011,2015,19737.48
72230011,2016,20543.91
72230011,2017,13635.15
72230011,2018,12734.07
72230011,2019,14368.63
72230011,2020,21472.31
72230011,2021,29489.19
72230011,2022,40861.71
72230019,2008,451012.85
72230019,2009,327953.9
72230019,2010,498403.78
72230019,2011,574034.93
72230019,2012,548324.59
72230019,2013,501894.56
72230019,2014,620475.39
72230019,2015,623075.49
72230019,2016,659098.92
72230019,2017,757492.75
72230019,2018,804110.17
72230019,2019,746980.94
72230019,2020,702361.25
72230019,2021,986816.17
72230019,2022,930528.36
72230091,2008,11373.69
72230091,2009,12084.14
72230091,2010,10426.11
72230091,2011,14343.65
72230091,2012,11440.29
72230091,2013,23272.51
72230091,2014,11724.52
72230091,2015,10294.73
72230091,2016,16018.64
72230091,2017,15899.77
72230091,2018,12859.32
72230091,2019,23819.47
72230091,2020,29172.9
72230091,2021,28823.48
72230091,2022,30002.43
72230099,2008,86914.06
72230099,2009,41590.79
72230099,2010,58416.99
72230099,2011,79439.51
72230099,2012,84897.83
72230099,2013,70278.91
72230099,2014,109741.45
72230099,2015,104777.76
72230099,2016,93704.6
72230099,2017,104038.8
72230099,2018,107478.72
72230099,2019,102779.9
72230099,2020,93781.15
72230099,2021,141263.65
72230099,2022,143675.38
72249014,2008,466924.0
72249014,2009,49429.13
72249014,2010,258018.02
72249014,2011,884843.53
72249014,2012,2270189.48
72249014,2013,2186121.14
72249014,2014,2967199.22
72249014,2015,3910609.46
72249014,2016,3400031.52
72249014,2017,3639523.49
72249014,2018,3383605.12
72249014,2019,694379.8
72249014,2020,285714.58
72249014,2021,1085775.79
72249014,2022,1078570.58
72253010,2008,30170.18
72253010,2009,
72253010,2010,6481.9
72253010,2011,4461.45
72253010,2012,190.55
72253010,2013,214.61
72253010,2014,68.05
72253010,2015,89.01
72253010,2016,138.86
72253010,2017,233.97
72253010,2018,3203.64
72253010,2019,1805.43
72253010,2020,0.5
72253010,2021,3857.33
72253010,2022,69.36
72253090,2008,793421.0
72253090,2009,127164.0
72253090,2010,126093.13
72253090,2011,475968.52
72253090,2012,181710.74
72253090,2013,413617.68
72253090,2014,826187.95
72253090,2015,4942535.61
72253090,2016,3065089.24
72253090,2017,310752.99
72253090,2018,305611.04
72253090,2019,195815.66
72253090,2020,332042.72
72253090,2021,669489.68
72253090,2022,1426916.15
72254090,2008,24179.45
72254090,2009,110773.3
72254090,2010,50660.05
72254090,2011,79593.24
72254090,2012,66816.04
72254090,2013,74983.3
72254090,2014,60666.35
72254090,2015,40828.03
72254090,2016,21668.85
72254090,2017,4304.77
72254090,2018,10358.07
72254090,2019,110677.47
72254090,2020,84540.01
72254090,2021,68213.8
72254090,2022,67410.7
72261910,2008,3249.0
72261910,2009,2498.0
72261910,2010,251.45
72261910,2011,2490.39
72261910,2012,1869.25
72261910,2013,2089.0
72261910,2014,1779.81
72261910,2015,36.91
72261910,2016,851.65
72261910,2017,442.81
72261910,2018,3179.51
72261910,2019,66.39
72261910,2020,2839.99
72261910,2021,2405.32
72261910,2022,10853.2
72261980,2008,471259.0
72261980,2009,128137.48
72261980,2010,254227.39
72261980,2011,288600.98
72261980,2012,275303.94
72261980,2013,531616.3
72261980,2014,578956.53
72261980,2015,572526.26
72261980,2016,691303.38
72261980,2017,752626.46
72261980,2018,837745.39
72261980,2019,552698.82
72261980,2020,506135.13
72261980,2021,424845.6
72261980,2022,289150.13
72262000,2008,5919.0
72262000,2009,6063.0
72262000,2010,8614.34
72262000,2011,8293.16
72262000,2012,7179.35
72262000,2013,7758.67
72262000,2014,7901.3
72262000,2015,10112.85
72262000,2016,9390.94
72262000,2017,13994.73
72262000,2018,12202.16
72262000,2019,10618.92
72262000,2020,5115.62
72262000,2021,5298.91
72262000,2022,10309.44
72269120,2008,5974.6
72269120,2009,3709.0
72269120,2010,13277.04
72269120,2011,19154.34
72269120,2012,25746.25
72269120,2013,16787.28
72269120,2014,18732.4
72269120,2015,19197.55
72269120,2016,19454.45
72269120,2017,22628.03
72269120,2018,28561.39
72269120,2019,30362.57
72269120,2020,31542.25
72269120,2021,37612.3
72269120,2022,57954.04
72269191,2008,81675.4
72269191,2009,91391.0
72269191,2010,46904.36
72269191,2011,62779.58
72269191,2012,34025.61
72269191,2013,22523.59
72269191,2014,15515.46
72269191,2015,19463.34
72269191,2016,19107.52
72269191,2017,14573.74
72269191,2018,24203.02
72269191,2019,31408.42
72269191,2020,28234.26
72269191,2021,40891.04
72269191,2022,52228.06
72269199,2008,645337.0
72269199,2009,527307.0
72269199,2010,447539.38
72269199,2011,441189.26
72269199,2012,251554.55
72269199,2013,79202.71
72269199,2014,45866.12
72269199,2015,102091.86
72269199,2016,28244.96
72269199,2017,38441.59
72269199,2018,44438.29
72269199,2019,36240.84
72269199,2020,28539.42
72269199,2021,54267.97
72269199,2022,47015.48
72269970,2008,21367.94
72269970,2009,22934.26
72269970,2010,31694.46
72269970,2011,45242.85
72269970,2012,41761.39
72269970,2013,24483.89
72269970,2014,8735.51
72269970,2015,21421.43
72269970,2016,15027.84
72269970,2017,12493.54
72269970,2018,17960.03
72269970,2019,16880.75
72269970,2020,16274.75
72269970,2021,26315.94
72269970,2022,24640.4
72271000,2008,434.0
72271000,2009,420.0
72271000,2010,1274.92
72271000,2011,2184.15
72271000,2012,3435.09
72271000,2013,1015.9
72271000,2014,343.13
72271000,2015,11720.53
72271000,2016,14399.55
72271000,2017,2229.34
72271000,2018,295.4
72271000,2019,139.39
72271000,2020,183.44
72271000,2021,79.36
72271000,2022,252.83
72279050,2008,853.0
72279050,2009,171.2
72279050,2010,3058.29
72279050,2011,2818.1
72279050,2012,30264.55
72279050,2013,56915.65
72279050,2014,60055.89
72279050,2015,37137.29
72279050,2016,26364.39
72279050,2017,64830.82
72279050,2018,84527.09
72279050,2019,45622.93
72279050,2020,48023.36
72279050,2021,49596.6
72279050,2022,22830.21
72281020,2008,41958.72
72281020,2009,10754.0
72281020,2010,14261.48
72281020,2011,7421.66
72281020,2012,7426.04
72281020,2013,9924.62
72281020,2014,27477.91
72281020,2015,53466.82
72281020,2016,61215.28
72281020,2017,44647.49
72281020,2018,32691.03
72281020,2019,61945.07
72281020,2020,8386.68
72281020,2021,4481.16
72281020,2022,8314.13
72281050,2008,6783.0
72281050,2009,1762.0
72281050,2010,1126.58
72281050,2011,7626.74
72281050,2012,945.86
72281050,2013,505.92
72281050,2014,608.07
72281050,2015,1200.21
72281050,2016,813.58
72281050,2017,2039.7
72281050,2018,543.53
72281050,2019,2170.63
72281050,2020,8323.46
72281050,2021,8868.08
72281050,2022,6140.62
72281090,2008,34664.52
72281090,2009,12694.29
72281090,2010,16557.46
72281090,2011,29023.64
72281090,2012,33003.57
72281090,2013,36062.12
72281090,2014,30654.02
72281090,2015,32229.53
72281090,2016,26295.31
72281090,2017,29871.46
72281090,2018,38708.79
72281090,2019,35535.06
72281090,2020,23151.39
72281090,2021,28094.78
72281090,2022,37512.99
72282099,2008,7910.0
72282099,2009,22204.0
72282099,2010,23686.81
72282099,2011,31982.25
72282099,2012,27776.87
72282099,2013,18866.9
72282099,2014,32725.2
72282099,2015,21308.88
72282099,2016,26438.16
72282099,2017,34182.36
72282099,2018,32599.61
72282099,2019,11807.46
72282099,2020,4128.64
72282099,2021,22357.04
72282099,2022,13199.64
72285020,2008,241050.0
72285020,2009,96993.42
72285020,2010,149296.17
72285020,2011,210074.07
72285020,2012,169536.58
72285020,2013,155556.17
72285020,2014,193104.95
72285020,2015,224216.49
72285020,2016,204941.32
72285020,2017,255264.7
72285020,2018,275291.37
72285020,2019,294518.15
72285020,2020,214869.26
72285020,2021,234463.47
72285020,2022,308150.89
72285040,2008,811145.0
72285040,2009,176618.0
72285040,2010,566177.02
72285040,2011,572710.29
72285040,2012,361513.57
72285040,2013,400522.11
72285040,2014,521183.54
72285040,2015,440022.12
72285040,2016,405681.22
72285040,2017,455833.3
72285040,2018,363744.25
72285040,2019,291931.82
72285040,2020,220199.17
72285040,2021,638582.79
72285040,2022,246983.66
72285061,2008,1519129.92
72285061,2009,454385.36
72285061,2010,1125201.5
72285061,2011,1693808.93
72285061,2012,984141.12
72285061,2013,908801.11
72285061,2014,1002095.23
72285061,2015,1020536.97
72285061,2016,1010906.96
72285061,2017,1026824.38
72285061,2018,1274204.5
72285061,2019,781794.87
72285061,2020,761951.23
72285061,2021,959487.9
72285061,2022,347973.83
72285069,2008,796079.2
72285069,2009,314121.13
72285069,2010,698893.36
72285069,2011,1038192.58
72285069,2012,861620.8
72285069,2013,823751.46
72285069,2014,985260.42
72285069,2015,875706.88
72285069,2016,742726.72
