prodcom_code,sector,product_label,year,extra_eu_import_cn8_components,extra_eu_import_components_reported,extra_eu_import_quantity_100kg,extra_eu_import_kg
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2018,1,1,115915.32,11591532.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2019,1,1,115627.6,11562760.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2020,1,1,123948.51,12394851.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2021,1,1,111000.92,11100092.0
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",2022,1,1,112566.84,11256684.0
17122090,C17,Paper stock for household : others,2008,1,1,495456.3,49545630.0
17122090,C17,Paper stock for household : others,2009,1,1,408730.09,40873009.0
17122090,C17,Paper stock for household : others,2010,1,1,372561.2,37256120.0
17122090,C17,Paper stock for household : others,2011,1,1,322156.56,32215656.0
17122090,C17,Paper stock for household : others,2012,1,1,300804.33,30080433.0
17122090,C17,Paper stock for household : others,2013,1,1,310725.81,31072581.0
17122090,C17,Paper stock for household : others,2014,1,1,299666.9,29966690.000000004
17122090,C17,Paper stock for household : others,2015,1,1,397375.23,39737523.0
17122090,C17,Paper stock for household : others,2016,1,1,507850.57,50785057.0
17122090,C17,Paper stock for household : others,2017,1,1,512805.66,51280566.0
17122090,C17,Paper stock for household : others,2018,1,1,664426.99,66442699.0
17122090,C17,Paper stock for household : others,2019,1,1,836340.91,83634091.0
17122090,C17,Paper stock for household : others,2020,1,1,1110003.43,111000343.0
17122090,C17,Paper stock for household : others,2021,1,1,944298.92,94429892.0
17122090,C17,Paper stock for household : others,2022,1,1,1000807.87,100080787.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2008,4,4,9859664.49,985966449.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2009,4,4,8747739.309999999,874773930.9999999
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2010,4,4,8669064.76,866906476.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2011,4,4,8406331.2,840633119.9999999
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2012,4,4,6665806.34,666580634.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2013,4,4,5497251.59,549725159.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2014,4,4,5679092.09,567909209.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2015,4,4,6937008.45,693700845.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2016,4,4,7112804.92,711280492.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2017,4,4,6722110.43,672211043.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2018,4,4,7050900.449999999,705090044.9999999
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2019,4,4,5927875.43,592787543.0
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)",2020,4,4,6165810.83,616581083.0
